GEOID,County,PM2.5,Ozone,drinkw,pest,toxr,dieselpm,Traffic,Lead,cleanup,groundw,hazard,impwater,solidw,pollutionb,Asthma,lowbirth,cardiod,Education,lingisol,Poverty,Unemployment,houseburd,tpop,ageu10pop,age1064pop,age65pop,phisp,pwhite,pblack,pnative,pasian,urbid
6065043227,Riverside,9.414708117,0.058,617.07,0,25.22033313,0.187,2103.305252,1.03,0,0,0.36,0,0,33.1,35.74,3.94,20.63,8.2,1.2,15.3,3.7,Middle,7895,12.58,79.29,8.13,29.72,38.59,10.39,0,9.36,0
6037920334,Los Angeles,9.953790794,0.065,640.89,0.13,258.9166743,0.267,1969.189673,32.99,0,0,0.345,0,0,42.65,30.6,3.55,11.05,2.9,3.8,19.2,8.4,Low,6217,10.54,70.9,18.56,22.79,62.33,2.49,0.37,8.24,0
6065042013,Riverside,11.62537549,0.067,688.28,0,688.7443237,0.015,1180.847933,1.91,12,0.6,0.09,0,0.2,36.95,24.75,5.18,12.49,3.4,3.9,14.4,6.1,Low,7811,9.95,79.81,10.24,16.76,51.98,6.07,0,18.31,1
6037920040,Los Angeles,10.12600908,0.067,619.17,0,269.8201955,0.029,1182.097626,19.39,0,0,0.1,2,0.2,32.21,32.98,7.5,8.59,7.3,4.8,14.3,3.6,Middle,3979,13.97,76.6,9.42,31.94,46.92,5.05,0,12.11,0
6061021304,Placer,7.420677868,0.054,630.86,758.28,14.41356327,0.009,174.0849989,30.66,0,41.75,0,7,10.5,39.6,23.58,5.41,9.73,5.1,4.7,22.3,1.2,Middle,6057,15.14,63.91,20.95,6.92,84.74,2.58,0,5.15,0
6037134424,Los Angeles,10.2593901,0.058,657.41,0,80.18303427,0.096,419.9639179,11.31,1,0,0.025,1,0,25.36,59.15,6.58,13.71,4,2.9,9.9,7.6,Low,2916,6.86,70.44,22.7,6.21,67.83,1.75,0,18.45,1
6037571800,Los Angeles,11.72819116,0.041,339.04,0.13,15898.18962,0.164,2716.327331,46.49,9,13.05,0.52,12,1.2,58.15,37.21,1.95,8.97,5.9,0.7,12.5,3.5,Middle,3222,7.48,66.26,26.26,21.57,53.54,9.87,0,13.13,1
6085502101,Santa Clara,8.437412775,0.04,291.53,0,203.292333,0.228,3262.477499,50.35,0.25,28.5,0.21,2,1,38.3,32.43,5.14,10.3,5.7,5.4,20,2.3,Middle,5081,12.73,71.6,15.67,22.1,42.77,3.66,1.12,25.72,1
6029002806,Kern,15.21295581,0.065,528.97,0,305.457667,0.019,1183.359619,18.38,0,0,0.35,0,0,35.74,34.9,3.36,10.22,1.6,1.4,34.7,9.9,Middle,2112,8.24,82.1,9.66,22.35,54.02,9.04,0,11.17,1
6029005403,Kern,8.169122963,0.057,439.4,0,0.0571937,0.056,265.4832785,29.34,0,0,0.4,0,1,22.73,70.82,4.01,25.26,10.6,3.5,36.8,6.2,Low,9119,16.24,71.37,12.39,21.92,65.35,3.27,2.12,3.62,0
6037570902,Los Angeles,11.67212819,0.043,461.83,0.6,4783.053223,0.061,835.7528866,70.1,0,0,0.31,0,0.2,40.16,34.4,3.8,15.1,5.9,0,18.1,4.3,Low,3583,10.63,76.3,13.06,27.63,42.92,6.87,0,12.92,0
6059011715,Orange,12.09105899,0.048,349,0,7484.060059,0.095,832.6283383,20.69,0,0,0.335,0,0,34.09,42.32,2.92,15.04,4.9,7.7,11.1,4.9,Middle,6437,9.8,67.45,22.74,22.67,55.94,2.28,0,17.18,0
6073017502,San Diego,9.186817373,0.044,229.88,0,27.91883407,0.263,1535.611246,30.53,0,27.5,0.545,6,0,37.01,15.43,6.55,7.91,9.8,5,16,2.2,Middle,3713,11.07,76.46,12.47,27.31,63.53,1.83,0.32,3.99,0
6037577100,Los Angeles,11.5700298,0.04,339.04,0,9139.366701,0.066,769.1520418,58.05,10.4,4.8,0.265,10,0,43.28,32.48,5.1,8.75,6.1,0.7,20.7,1.9,Middle,7185,12.37,77.84,9.78,26.5,54.04,6.64,0,8.28,1
6073008504,San Diego,9.416841541,0.044,312.86,0,167.8563996,0.07,1106.785302,62.09,4.1,10,0.45,14,3,45.57,40.95,4.12,10.43,5.7,1.5,15.8,1.9,Middle,6526,11.69,72.89,15.42,21.05,64.48,2.5,0,8.73,1
6059110118,Orange,11.82138492,0.044,564.3,0,4061.473348,0.08,518.4318556,6.94,1.75,1,0.245,6,0,34.95,34.38,7.32,11.32,3.5,7.4,5.9,2.6,Low,2355,8.62,76.9,14.48,6.75,25.14,5.52,0,61.91,0
6073019002,San Diego,8.062682602,0.051,258.9,130.92,9.4434236,0.077,2101.255626,45.72,0,10,0.25,7,6,44.54,26.6,3.3,12.58,20.8,2.2,26.2,2.2,Low,2175,10.02,73.15,16.83,37.47,54.07,2.11,0.18,5.47,0
6037403325,Los Angeles,12.06400634,0.05,435.94,0,2505.680013,0.193,3379.227089,19.48,0,0,0.1,0,0,38.32,25.31,5.08,9.41,3.3,14.7,15,3,Middle,5348,14.19,69.67,16.14,15.52,14.6,5.55,0,61.89,0
6081608501,San Mateo,8.600383559,0.032,296.56,0,238.5006612,0.393,1774.539436,73.32,4.5,94.2,0.625,2,0.5,45.94,42.33,3.02,8.3,8.9,10.3,10.6,1.6,Middle,5110,15.58,72.41,12.02,22.92,46.09,0.98,0.25,20.08,0
6059110102,Orange,11.84210472,0.044,527.37,0,3589.556722,0.061,817.6385587,40.2,1,1,0.09,6,7,42.14,27.54,4.59,9.36,8.5,6.7,17.2,3.6,Low,5785,8.57,74.87,16.56,16.61,27.69,3.63,0.19,47.78,0
6073022100,San Diego,8.958484667,0.043,238.9,1673.26,88.05246607,0.145,1168.418222,14.75,6.45,7.8,2.24,13,2.7,48.65,14.03,3.72,7.24,12.8,8.6,18.5,5.6,Low,10005,10.3,76.1,13.59,25.05,58.59,1.47,0.32,9.68,1
6059052513,Orange,11.09735455,0.05,411.38,54.45,1596.536662,0.08,979.0517168,15.68,0,0,0.275,9,0,42.21,21.1,3.95,7.51,4.3,9.9,20,8.2,Middle,5728,10.46,70.57,18.98,10.04,58.55,1.43,0,28.63,1
6111001506,Ventura,8.925251265,0.043,558.7,25703.27,146.0893351,0.078,557.8370395,29.77,1,5,0.13,4,0,35.73,36.05,4.96,7.96,10.5,2.7,22.2,5.3,Middle,5151,12.13,69.56,18.31,33.61,50.73,5.16,0.89,3.71,1
